Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.25E+02;4.97E+00;1.71E-03;4.97E+00;1.44E+01;1.44E+01;0.997
1.50E+02;4.38E+00;1.44E-03;4.38E+00;1.98E+01;1.97E+01;0.997
1.75E+02;3.95E+00;1.24E-03;3.95E+00;2.58E+01;2.57E+01;0.9971
2.00E+02;3.63E+00;1.09E-03;3.63E+00;3.24E+01;3.23E+01;0.9972
2.25E+02;3.37E+00;9.78E-04;3.37E+00;3.96E+01;3.95E+01;0.9973
2.50E+02;3.16E+00;8.85E-04;3.17E+00;4.72E+01;4.71E+01;0.9973
2.75E+02;2.99E+00;8.09E-04;3.00E+00;5.53E+01;5.52E+01;0.9974
3.00E+02;2.85E+00;7.45E-04;2.85E+00;6.39E+01;6.37E+01;0.9974
3.50E+02;2.63E+00;6.44E-04;2.63E+00;8.22E+01;8.20E+01;0.9975
4.00E+02;2.46E+00;5.67E-04;2.46E+00;1.02E+02;1.02E+02;0.9976
4.50E+02;2.33E+00;5.07E-04;2.33E+00;1.23E+02;1.23E+02;0.9977
5.00E+02;2.23E+00;4.59E-04;2.23E+00;1.45E+02;1.44E+02;0.9977
5.50E+02;2.15E+00;4.19E-04;2.15E+00;1.68E+02;1.67E+02;0.9978
6.00E+02;2.08E+00;3.86E-04;2.08E+00;1.91E+02;1.91E+02;0.9979
6.50E+02;2.02E+00;3.58E-04;2.02E+00;2.16E+02;2.15E+02;0.9979
7.00E+02;1.97E+00;3.34E-04;1.98E+00;2.41E+02;2.40E+02;0.998
7.50E+02;1.93E+00;3.13E-04;1.93E+00;2.66E+02;2.66E+02;0.998
8.00E+02;1.90E+00;2.94E-04;1.90E+00;2.92E+02;2.92E+02;0.998
8.50E+02;1.87E+00;2.78E-04;1.87E+00;3.19E+02;3.18E+02;0.9981
9.00E+02;1.84E+00;2.63E-04;1.84E+00;3.46E+02;3.45E+02;0.9981
9.50E+02;1.82E+00;2.50E-04;1.82E+00;3.73E+02;3.72E+02;0.9982
1.00E+03;1.80E+00;2.38E-04;1.80E+00;4.01E+02;4.00E+02;0.9982
